"","NATCODE","COD_INE","PROVINCIA","MUN_NAME","POBLACION_MUNI","Area..km2.","POBLACION_CAPITAL","CAI_num","X2020_indGini","X2020_indP80.P20","X2020_indUnitCons.60.","X2020_income_mean_HH","X2020_income_mean_PP","Popul.Density..peopl.km2.","population_log","PV.20kw.capacity","PV.20kw.units","tot_units_PV","tot_cap_PV","cap_PV.20kW","wind.onshore","cogenNG.B_OilCoal","solar_therm","HP_gen","hydro.10MW","hydro.10MW.1","cogenWastBio","other_pow_plans","PoorHousing.","VulnerableAge.","Unemployed.","HigherEdu.","LowEdu.","X2021_POBLACION_MUNI","X..male","X..female","gender.ratio..m.f.","hydro_total","Renewable_profile","Income_level_PP","CCAA","Con_CAI"
"1645",34070909408,9408,"Burgos","Vallarta de Bureba",43,19.123059,43,NA,28.872,NA,NA,28075.6594,14981,2.24859422334052,1.63346845557959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,NA,NA,NA,45,64.4444444444444,35.5555555555556,"1.8125",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1646",34070909409,9409,"Burgos","Valle de Manzanedo",132,70.44226,31,NA,34.9,2.9,NA,21446,10457,1.87387514256357,2.12057393120585,0,0,0,0,0,20280000,0,0,0,250000,0,0,0,7,0.386363636363636,0.723577235772358,0.258064516129032,0.5,132,53.030303030303,46.969696969697,"1.1290322580645162",250000,"Wind Onshore","Low Income","Castilla y León","Sin CAIs"
"1647",34070909410,9410,"Burgos","Valle de Mena",4030,262.6915,1654,NA,32.8,2.8,25.3,24776,10943,15.3411891896007,3.60530504614111,0,0,1,20000,20000,0,0,0,0,2430000,0,0,0,2.78260869565217,0.320650813516896,0.515116279069767,0.0316001149095088,0.006894570525711,3995,50.8635794743429,49.1364205256571,"1.0351502801833927",2430000,"Hydro","Low Income","Castilla y León","Sin CAIs"
"1648",34070909411,9411,"Burgos","Valle de Oca",165,38.471505,47,NA,36.4,4.4,NA,32282,13750,4.28888862029182,2.21748394421391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0.551282051282051,0.243589743589744,0.442307692307692,165,61.2121212121212,38.7878787878788,"1.578125",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1649",34070909412,9412,"Burgos","Valle de Tobalina",896,157.4891,318,NA,35.5,3.2,28.2,25214,12637,5.68928262336885,2.95230800966213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.391160220994475,0.634026927784578,0.0230024213075061,0.00847457627118644,905,54.2541436464088,45.7458563535912,"1.1859903381642511",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1650",34070909413,9413,"Burgos","Valle de Valdebezana",459,156.6243,123,NA,33.2,2.5,NA,20587,10861,2.93057973762692,2.66181268553726,0,0,0,0,0,38200000,0,0,0,0,0,0,0,1,0.345733041575492,0.543478260869565,0.251781472684086,0.539192399049881,457,53.6105032822757,46.3894967177243,"1.1556603773584906",0,"Wind Onshore","Low Income","Castilla y León","Sin CAIs"
"1651",34070909414,9414,"Burgos","Valle de Valdelaguna",196,92.662402,68,NA,23.9,1.9,NA,37274,16695,2.11520525876288,2.29225607135648,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.443298969072165,0.612903225806452,0.354838709677419,0.478494623655914,194,60.3092783505155,39.6907216494845,"1.5194805194805194",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1652",34070909415,9415,"Burgos","Valle de Valdelucio",333,95.7867,54,NA,28.9,2.6,NA,31647,12696,3.47647429131602,2.52244423350632,0,0,1,9200,9200,99200000,0,0,0,0,0,0,0,54,0.352941176470588,0.536507936507936,0.276729559748428,0.556603773584906,340,55.8823529411765,44.1176470588235,"1.2666666666666666",0,"Wind Onshore","Medium Income","Castilla y León","Sin CAIs"
"1653",34070909416,9416,"Burgos","Valle de Zamanzas",46,19.266805,11,NA,28.872,NA,NA,28075.6594,14981,2.38752611032291,1.66275783168157,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.26530612244898,NA,NA,NA,49,63.265306122449,36.734693877551,"1.7222222222222223",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1654",34070909417,9417,"Burgos","Vallejera",39,18.324948,36,NA,28.3975,NA,NA,27578.8127,14981,2.12824614836561,1.5910646070265,0,0,0,0,0,111100000,0,0,0,0,0,0,0,3,0.45,NA,NA,NA,40,57.5,42.5,"1.3529411764705883",0,"Wind Onshore","Medium Income","Castilla y León","Sin CAIs"
